Sample,UTM,Easting,Northing,ALTITUDE,MINTEMP,PRECIPITATION,DISTWATER,ASPECT,SLOPE,DISTFARM,DISTPOUL,DENSITY,VEGTYPE,DIST_URB,autocov1000m
1217,28N,327908,3114480,413,12.3,373,179.668096,SW,12.917,679.850718,2936.276042,0.763,Shrub,19.825488,1
1218,28N,328831,3115055,665,11.6,440,92.853736,SW,12.424,717.396682,1850.141886,0.458,Shrub,40.108,0
1219,28N,328851,3115078,665,11.6,440,92.853736,SW,12.424,717.396682,1850.141886,0.458,Shrub,40.108,0
1220,28N,326960,3115310,391,12.71,385,166.827006,SW,9.664,632.661837,3554.205537,0.916,Shrub,57.826486,0.42268769
1221,28N,324685,3116834,201,12.9,349,3.928862,SW,4.82,485.050512,5843.721074,0.611,Shrub,16.557216,0
1222,28N,326674,3115360,357,12.48,379.8805,235.858904,SW,13.182,490.731087,3828.276505,0.967,Shrub,4.531401,0.36728182
1223,28N,324903,3115605,213,13.6,331.5902,142.321159,SW,7.968,1489.26324,5565.732386,0.865,Shrub,55.607107,0
1224,28N,323374,3119875,193,13.1,339.8694,173.221025,SW,8.581,1247.14113,8107.324219,0.713,Shrub,63.001028,0
1225,28N,322018,3126636,676,11.3,457,97.758995,SW,9.663,850.889534,13630.23422,0.458,Shrub,87.606684,0
1228,28N,331607,3104881,25,14,277,329.514831,SW,3.089,1804.388539,2909.423482,0.458,Shrub,190.42953,0
1229,28N,328413,3113386,297,12.88,348,179.810012,SW,14.705,550.514304,2477.141901,0.967,Shrub,184.545306,0
1232,28N,325998,3114565,212,13.6,332.3259,133.667706,SW,7.362,584.200308,4666.334964,0.814,Shrub,60.004161,0.53936439
1237,28N,335983,3105068,169,13.2,304,438.133377,SW,5.74,469.707355,1346.435665,0.662,Urban,20.254801,0
1243,28N,343963,3108130,415,12.1,369.3458,33.318787,SW,8.904,721.205241,2455.946457,0.509,Shrub,86.455619,0
1268,28N,338982,3101757,61,13.9,274,56.374861,SW,2.051,1329.061699,3774.484997,0.407,Shrub,52.606902,0
1279,28N,353334,3115955,485,12.1,355,53.961212,SW,8.438,303.842064,1903.785702,0.56,Shrub,70.004492,0
1312,28N,332017,3105883,139,13.8,299,405.488979,SW,7.066,1362.510183,2081.763915,0.763,Shrub,150.920997,1
1313,28N,332413,3103260,27,14,299,451.651804,SW,3.866,200.142449,3156.023605,0.458,Shrub,54.452924,0
1314,28N,330864,3104377,55,14,271,960.972717,SW,17.956,1996.138522,3807.144861,0.458,Shrub,36.993776,0
1317,28N,329256,3109242,79,14,290,254.250768,SW,2.391,2383.428832,2383.428832,0.56,Urban,127.281286,1
1322,28N,328363,3111531,174,13.4,308,475.568147,SW,4.902,1066.810667,1656.290131,0.916,Shrub,121.704952,0.5
1323,28N,328383,3111541,174,13.4,308,475.568147,SW,4.902,1066.810667,1656.290131,0.916,Shrub,121.704952,0.5
1326,28N,326909,3112001,100,13.9,310,211.811568,SW,4.706,938.314446,3150.095395,0.916,Shrub,133.66946,1
1335,28N,327110,3119293,628,10.22,463.6295,13.985239,SW,13.971,939.345516,4743.277558,0.56,Shrub,35.978491,0
1339,28N,337774,3117684,1868,3.9,490,1462.977881,SW,11.312,2957.820312,2957.820312,0.05,Forest,325.234645,0
1345,28N,340274,3123072,2140,1,488,1300.45531,SW,3.812,8189.241051,8189.241051,0.305,Shrub,12.302182,0
1350,28N,325630,3121131,523,11.4,422.2064,71.54015,SW,8.857,857.047256,7094.226525,0.814,Shrub,14.580243,0
1351,28N,324952,3121207,450,12,413.3954,76.436509,SW,9.444,406.964371,7624.406731,0.814,Urban,10.116591,0
1357,28N,322458,3123413,360,11.76,386,13.256738,SW,7.595,421.474791,10952.23457,0.814,Urban,38.976808,0
1358,28N,321830,3123603,282,12.9,383.8309,369.877349,SW,9.474,565.799434,11544.40133,0.814,Urban,46.03459,0.41841754
1359,28N,320731,3123593,147,13.6,338,44.469948,SW,11.437,241.478777,12381.20612,0.509,Urban,18.617415,0
1360,28N,312014,3136867,18,14.1,303,682.1134,SW,4.097,2457.034391,20812.84029,0.305,Shrub,217.319991,0.5
1365,28N,314352,3137442,541,9.75,466,767.376636,SW,16.334,599.920828,18445.59503,0.509,Urban,123.450409,0
1367,28N,322005,3129820,771,9.5,498,18.000027,SW,10.616,298.157676,13705.19292,0.203,Urban,45.386633,0
1368,28N,321467,3125532,424,12,408,103.305448,SW,13.298,505.080191,13152.09748,0.56,Urban,98.264322,1
1370,28N,321708,3124059,312,12.9,389.2411,126.946162,SW,5.12,699.200257,11941.34105,0.611,Urban,34.156914,0.32289476
1382,28N,331904,3140515,152,13,384,85.317545,SW,5.697,1218.517952,2388.640826,0.254,Urban,88.780961,0
1401,28N,384642,3154519,108,14.6,261,1055.426502,SW,25.436,1772.575527,13910.20783,0.203,Shrub,26.062977,0
1406,28N,330722,3105924,35,13.9,279.3929,201.67438,SW,6.116,1063.083251,3326.018189,0.407,Urban,151.915736,0
1407,28N,330737,3106693,109,13.8,295.1404,127.434913,SW,14.046,342.052627,3254.01306,0.509,Urban,84.425623,0
1409,28N,330383,3108461,61,13.31,305,183.569812,SW,3.56,1347.776316,3058.407592,0.509,Urban,61.024476,0
1410,28N,330363,3108480,61,13.31,305,183.569812,SW,3.56,1347.776316,3058.407592,0.509,Urban,61.024476,0
1413,28N,323687,3120583,291,12.2,370,59.174182,SW,8.153,640.007812,8214.206291,0.865,Shrub,79.103236,0
1414,28N,323070,3120691,224,13.04,362,57.982722,SW,6.914,1248.0004,8787.853549,0.865,Shrub,41.422748,0
1415,28N,323659,3121807,358,11.9,395,34.044146,SW,7.806,190.184121,8985.105953,0.865,Urban,75.198414,0
1416,28N,323039,3121502,264,12.6,372,25.542263,SW,7.302,815.576483,9276.80031,0.865,Shrub,87.617075,0
1418,28N,326442,3116359,370,11.65,373,28.630799,SW,6.679,351.069793,4039.420007,0.865,Urban,8.243252,0
1419,28N,327261,3117717,575,10,434,59.086544,SW,7.8,258.627144,3661.4605,0.814,Shrub,57.798121,0
1421,28N,326224,3118252,435,10.89,411.0149,9.170477,SW,13.469,432.112253,4827.872098,0.763,Urban,2.004157,0
1424,28N,340233,3123353,2144,1.29,488,1583.619829,SW,1.547,8460.698848,8460.698848,0.305,Shrub,216.833222,0
1426,28N,340963,3126536,2304,1.1,487.0266,2499.158699,SW,3.553,10143.33772,11719.30211,0.254,Shrub,48.193478,0
1429,28N,340760,3103301,112,13.77,276.235,89.680531,SW,2.399,1243.001609,4442.798329,0.662,Shrub,102.429238,0
1433,28N,343276,3102619,50,13.9,268,126.464178,SW,4.245,2027.305847,3275.076945,0.458,Shrub,74.531571,1
1435,28N,339674,3107415,447,12.06,356.7752,0,SW,12.377,1185.323584,2185.06247,0.356,Urban,29.266583,0
1444,28N,359118,3119505,76,13.92,260,177.415937,SW,7.41,484.608089,1891.810772,0.611,Shrub,78.291218,1
1462,28N,364582,3132711,111,14.1,277.112,98.073647,SW,2.164,868.546486,868.546486,0.916,Urban,16.942642,0
1476,28N,351474,3130942,2230,1.7,488,3696.673059,SW,4.432,3957.08289,7289.890259,0.458,Shrub,454.544203,0
1477,28N,351454,3130962,2230,1.7,488,3696.673059,SW,4.432,3957.08289,7289.890259,0.458,Shrub,454.544203,0
1478,28N,351750,3130355,2195,1.77,488.3339,3161.243657,SW,4.216,4370.668713,7949.523256,0.458,Shrub,764.859208,0
1479,28N,351730,3130340,2195,1.77,488.3339,3161.243657,SW,4.216,4370.668713,7949.523256,0.458,Shrub,764.859208,0
1486,28N,322755,3126686,777,9.8,477.2797,166.604321,SW,7.178,255.154854,13227.13574,0.458,Shrub,210.597981,0
1143,28N,353501,3113740,227,12.9,316,14.899511,W,3.122,296.624341,623.910249,0.458,Urban,20.471256,1
1172,28N,333400,3100370,37,14.2,269,618.841218,W,2.618,2472.351512,2472.351512,0.305,Shrub,376.173332,0.47330331
1178,28N,338230,3100132,26,14.3,265,489.653194,W,2.258,653.701001,2470.142101,0.203,Shrub,238.253988,1
1179,28N,338240,3100145,26,14.3,265,489.653194,W,2.258,653.701001,2470.142101,0.203,Shrub,238.253988,1
1191,28N,338530,3107526,475,11.6,380,408.01237,W,21.974,1080.389281,1080.389281,0.509,Shrub,265.314062,0
1227,28N,332687,3104881,98,13.8,329,243.42317,W,1.799,1520.492683,2118.533691,0.509,Urban,127.964319,1
1231,28N,326664,3115004,350,12.8,378.9835,29.030762,W,11.361,217.589062,3907.291261,0.967,Urban,0,0
1233,28N,327954,3116580,614,10.4,453,491.443633,W,12.734,213.12203,2586.955933,0.763,Shrub,52.722807,0
1234,28N,326805,3118723,534,10.4,445,138.333867,W,10.721,359.562233,4596.763752,0.763,Shrub,123.10125,0
1236,28N,335616,3104686,139,13.2,301.2134,627.563393,W,4.524,986.877905,1249.082863,0.356,Shrub,163.637381,0
1263,28N,318015,3134931,782,10.7,477,806.340397,W,18.027,1001.180303,15140.75593,0.05,Shrub,329.747525,0
1264,28N,320877,3131818,971,8.5,502,1372.450751,W,16.34,1597.062929,13547.93257,0.101,Shrub,95.606087,0
1270,28N,341616,3106593,324,12.1,330,55.120074,W,6.342,799.390392,3070.960924,0.509,Shrub,95.46555,0
1291,28N,359320,3123679,339,12.5,319.853,130.340123,W,6.244,951.892851,1351.480669,0.713,Shrub,239.933307,1
1318,28N,328562,3109365,31,14.1,287,295.527732,W,2.289,2584.777359,2584.777359,0.56,Shrub,179.295352,1
1324,28N,329335,3110282,88,13.8,299,276.410706,W,6.935,1396.918036,1396.918036,0.763,Shrub,333.975886,0.5
1325,28N,327477,3112058,146,13.5,314.0302,170.904212,W,2.303,467.064235,2602.52339,0.916,Grass,74.899742,1
1327,28N,326572,3111094,40,13.9,290.3627,792.313919,W,6.289,1784.253345,3470.827711,0.56,Shrub,159.706737,1
1328,28N,326614,3113212,135,13.5,314.1966,189.685523,W,3.821,1332.081453,3811.163733,0.763,Urban,88.211084,1
1329,28N,323341,3116393,76,13.5,316,142.899689,W,6.337,1100.071361,7132.783818,0.509,Urban,45.400195,0
1334,28N,326093,3119202,460,11.72,425.7892,251.883562,W,7.38,696.419413,5453.602479,0.814,Urban,83.914108,0
1340,28N,335028,3121912,2043,2.8,488.0009,3082.435838,W,8.589,7104.469367,7524.11091,0.203,Shrub,68.998391,0
1353,28N,319746,3122112,5,13.9,298,301.7442,W,1.287,747.047521,12366.7317,0.203,Grass,168.389816,0
1355,28N,324731,3123716,696,10.3,458,99.936307,W,9.19,682.56355,9662.789866,0.611,Urban,30.164098,0
1361,28N,311935,3137615,25,10.9,427,371.538865,W,2.976,2647.719207,20853.9919,0.305,Shrub,264.271243,0
1362,28N,311945,3137620,25,10.9,427,371.538865,W,2.976,2647.719207,20853.9919,0.305,Shrub,264.271243,0
1366,28N,313979,3137577,468,10.9,466,1103.176443,W,13.844,874.524442,18812.59222,0.509,Urban,162.672377,1
1369,28N,320983,3125353,321,13.03,397.2927,278.547602,W,17.881,436.900446,13360.84342,0.56,Urban,127.851579,0
1371,28N,321517,3122035,163,13.9,319.9558,94.126328,W,7.392,187.832372,10825.04342,0.713,Urban,82.756494,0
1372,28N,321340,3122388,169,13.56,344,213.474843,W,13.153,517.757665,11171.852,0.713,Shrub,157.604025,0
